Title,Type,Genre,Release Year,Rating,Duration,Country,Cluster
0,1,1,-1.4580391502219057,1,83,4,0
1111,1,4,1.6055303850804614,0,83,3,0
2222,1,0,-0.9395889211707358,6,41,7,1
2334,0,7,1.181343834038595,2,83,1,1
2445,1,5,-1.2695117942032985,4,73,3,1
2556,0,0,0.992816478019988,2,83,4,1
2667,0,5,-0.421138692119566,4,92,7,1
2778,0,1,-0.7039297261474768,6,5,4,1
2889,0,3,0.6628936049874253,2,82,1,1
1,0,7,-0.5154023701288696,5,0,3,0
112,1,5,1.6526622240851132,4,40,0,0
223,1,0,0.0030478589223001877,2,109,2,0
334,0,2,0.52149808797347,3,30,0,0
445,0,6,0.0030478589223001877,6,30,2,0
556,1,2,0.3801025709595146,2,83,1,0
667,1,4,0.4743662489688182,5,8,4,0
778,0,1,-0.7981934041567804,6,0,6,0
889,1,3,-0.13834765809165522,0,48,5,0
1000,0,5,1.181343834038595,0,0,6,0
1112,0,5,1.7469259020944168,3,0,6,0
1223,1,6,0.33297073195486276,0,21,0,0
1334,1,3,-0.8453252431614322,3,82,2,0
1445,0,3,1.7469259020944168,6,83,6,0
1556,0,1,-0.9867207601753876,3,16,7,1
1667,1,6,0.2387070539455592,5,0,0,1
1778,1,5,0.52149808797347,3,82,7,1
1889,0,3,0.8514209610060326,6,65,4,1
2000,1,4,-1.599434667235861,2,76,7,1
2111,0,7,-0.7981934041567804,5,92,3,1
2223,1,1,-1.4580391502219057,1,102,1,1
2235,0,4,0.285838892950211,5,82,0,1
2246,1,4,0.14444337593625559,5,82,7,1
2257,0,2,-0.5154023701288696,5,83,4,1
2268,1,7,0.4743662489688182,4,0,1,1
2279,0,7,1.5583985460758096,6,82,1,1
2290,0,2,0.6157617659827735,2,112,7,1
2301,0,1,-1.0338525991800394,6,34,6,1
2312,0,0,0.8042891220013808,5,57,0,1
2323,1,2,0.6628936049874253,1,83,4,1
2335,0,1,0.14444337593625559,4,82,6,1
2346,0,2,-0.7039297261474768,2,0,2,1
2357,1,4,-0.2326113361009588,6,82,4,1
2368,0,4,1.228475673043247,5,42,3,1
2379,0,1,-1.4580391502219057,0,0,2,1
2390,1,1,-1.2695117942032985,6,100,7,1
2401,1,6,-1.1752481161939947,5,82,0,1
2412,1,7,0.4743662489688182,0,31,7,1
2423,1,7,-0.892457082166084,3,91,2,1
2434,1,2,-0.6096660481381732,1,83,6,1
2446,1,1,-0.9867207601753876,6,82,3,1
2457,1,3,-0.7981934041567804,0,83,4,1
2468,0,2,-0.2797431751056106,1,41,4,1
2479,1,3,0.14444337593625559,3,82,3,1
2490,1,2,-1.0338525991800394,1,83,2,1
2501,1,7,1.5112667070711578,5,29,4,1
2512,1,4,-1.599434667235861,1,121,5,1
2523,0,3,1.4170030290618543,4,82,2,1
2534,1,4,-0.9867207601753876,6,0,3,1
2545,0,5,1.6055303850804614,3,83,2,1
2557,0,2,1.4170030290618543,3,82,5,1
2568,1,5,1.3227393510525507,6,83,1,1
2579,1,7,0.8985528000106844,1,82,6,1
2590,1,1,-0.7510615651521286,2,70,3,1
2601,0,5,-1.1752481161939947,2,83,6,1
2612,0,5,-1.2223799551986465,6,38,0,1
2623,1,1,-0.8453252431614322,3,83,4,1
2634,0,2,-1.599434667235861,5,83,6,1
2645,1,1,0.7100254439920772,4,67,4,1
2656,1,0,1.3698711900572025,6,82,2,1
2668,1,6,-0.2326113361009588,5,90,7,1
2679,0,4,1.5112667070711578,4,113,2,1
2690,0,5,-0.9867207601753876,2,41,2,1
2701,0,7,0.6628936049874253,6,75,3,1
2712,1,6,-1.5051709892265575,5,76,7,1
2723,1,4,-0.892457082166084,2,0,3,1
